City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
Amsterdam,Van,COMPLETED,2023-08-19 09:50:24 +0000 UTC,2023-08-19 10:13:40 +0000 UTC,2023-08-19 10:44:31 +0000 UTC,16.07,77.13,EUR
Amsterdam,UberX,COMPLETED,2023-07-21 18:54:17 +0000 UTC,2023-07-21 19:03:08 +0000 UTC,2023-07-21 19:17:19 +0000 UTC,5.29,20.08,EUR
Amsterdam,UberX,COMPLETED,2023-07-21 16:12:08 +0000 UTC,2023-07-21 16:21:52 +0000 UTC,2023-07-21 16:36:09 +0000 UTC,5.26,23.35,EUR
Amsterdam,UberX,COMPLETED,2023-07-08 06:35:40 +0000 UTC,2023-07-08 06:44:02 +0000 UTC,2023-07-08 07:09:02 +0000 UTC,11.32,37.41,EUR
Amsterdam,UberX,COMPLETED,2023-06-19 08:33:27 +0000 UTC,2023-06-19 08:38:54 +0000 UTC,2023-06-19 08:53:14 +0000 UTC,7.77,27.08,EUR
Amsterdam,UberX,CANCELED,2023-06-19 08:27:26 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,EUR
Cape Town,Uber Go,COMPLETED,2023-06-08 22:16:13 +0000 UTC,2023-06-08 22:24:37 +0000 UTC,2023-06-08 22:55:29 +0000 UTC,13.68,180,ZAR
Cape Town,Uber Go,COMPLETED,2023-06-08 16:24:55 +0000 UTC,2023-06-08 16:38:21 +0000 UTC,2023-06-08 17:04:33 +0000 UTC,13.51,145,ZAR
Amsterdam,UberX,CANCELED,2023-06-05 13:23:35 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,EUR
Amsterdam,UberX,CANCELED,2023-06-05 13:16:44 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,EUR
Amsterdam,UberX,COMPLETED,2023-05-20 05:59:59 +0000 UTC,2023-05-20 06:04:00 +0000 UTC,2023-05-20 06:19:28 +0000 UTC,7.77,23.83,EUR
Riyadh,UberX,COMPLETED,2023-05-17 16:25:02 +0000 UTC,2023-05-17 16:30:40 +0000 UTC,2023-05-17 16:43:20 +0000 UTC,6.43,26.47,SAR
Riyadh,UberX,COMPLETED,2023-05-17 10:00:18 +0000 UTC,2023-05-17 10:04:35 +0000 UTC,2023-05-17 10:11:00 +0000 UTC,2.41,15.61,SAR
Riyadh,UberX,COMPLETED,2023-05-15 14:21:49 +0000 UTC,2023-05-15 14:28:53 +0000 UTC,2023-05-15 14:44:15 +0000 UTC,2.38,16.96,SAR
Riyadh,UberX,COMPLETED,2023-05-15 12:55:26 +0000 UTC,2023-05-15 13:26:43 +0000 UTC,2023-05-15 13:46:33 +0000 UTC,4.92,29.52,SAR
Riyadh,UberX,COMPLETED,2023-05-14 15:17:35 +0000 UTC,2023-05-14 15:22:09 +0000 UTC,2023-05-14 15:42:16 +0000 UTC,5.6,32.32,SAR
Amsterdam,UberX,COMPLETED,2023-05-11 10:40:22 +0000 UTC,2023-05-11 10:46:11 +0000 UTC,2023-05-11 11:04:49 +0000 UTC,9.09,25.28,EUR
Amsterdam,,UNFULFILLED,2023-05-11 10:28:46 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,EUR
Amsterdam,UberX,COMPLETED,2023-05-10 08:23:13 +0000 UTC,2023-05-10 08:33:50 +0000 UTC,2023-05-10 08:47:33 +0000 UTC,7.91,25.24,EUR
Amsterdam,UberX Saver,COMPLETED,2023-05-02 12:36:05 +0000 UTC,2023-05-02 12:47:09 +0000 UTC,2023-05-02 13:05:59 +0000 UTC,10.05,20.51,EUR
Amsterdam,UberX,COMPLETED,2023-03-19 17:10:58 +0000 UTC,2023-03-19 17:17:24 +0000 UTC,2023-03-19 17:22:32 +0000 UTC,1.51,11.5,EUR
Amsterdam,UberX,COMPLETED,2023-03-11 20:15:08 +0000 UTC,2023-03-11 20:27:43 +0000 UTC,2023-03-11 20:48:56 +0000 UTC,11.54,38.98,EUR
Amsterdam,,UNFULFILLED,2023-01-27 22:28:48 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,EUR
Amsterdam,UberX,COMPLETED,2023-01-18 08:39:57 +0000 UTC,2023-01-18 08:48:50 +0000 UTC,2023-01-18 09:09:28 +0000 UTC,8.66,26.71,EUR
Johannesburg and Pretoria,Van,COMPLETED,2023-01-02 09:02:07 +0000 UTC,2023-01-02 09:23:35 +0000 UTC,2023-01-02 09:58:59 +0000 UTC,23.45,719,ZAR
Amsterdam,UberX,COMPLETED,2022-12-08 23:29:49 +0000 UTC,2022-12-08 23:37:30 +0000 UTC,2022-12-08 23:54:56 +0000 UTC,7.07,19.52,EUR
Amsterdam,UberX,COMPLETED,2022-11-22 06:40:07 +0000 UTC,2022-11-22 06:43:24 +0000 UTC,2022-11-22 07:01:38 +0000 UTC,7.74,26.38,EUR
Riyadh,UberX,COMPLETED,2022-11-20 14:39:30 +0000 UTC,2022-11-20 14:50:52 +0000 UTC,2022-11-20 15:15:59 +0000 UTC,5.64,37,SAR
Riyadh,UberX,CANCELED,2022-11-16 12:37:09 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,SAR
Riyadh,,UNFULFILLED,2022-11-09 16:06:38 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,SAR
Amsterdam,UberX,COMPLETED,2022-09-02 20:51:01 +0000 UTC,2022-09-02 20:54:59 +0000 UTC,2022-09-02 21:14:46 +0000 UTC,14.06,40.93,EUR
Amsterdam,Uber for Ukraine,COMPLETED,2022-06-14 08:47:57 +0000 UTC,2022-06-14 08:51:34 +0000 UTC,2022-06-14 09:07:25 +0000 UTC,8.04,29.24,EUR
Riyadh,,UNFULFILLED,2022-06-07 16:04:06 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,SAR
Riyadh,UberX,COMPLETED,2022-06-06 14:34:00 +0000 UTC,2022-06-06 14:49:47 +0000 UTC,2022-06-06 15:13:06 +0000 UTC,6.03,31.61,SAR
Riyadh,UberX,COMPLETED,2022-06-06 07:08:59 +0000 UTC,2022-06-06 07:27:09 +0000 UTC,2022-06-06 07:41:29 +0000 UTC,5.64,21.6,SAR
Amsterdam,UberX,COMPLETED,2022-04-02 21:08:00 +0000 UTC,2022-04-02 21:18:13 +0000 UTC,2022-04-02 21:37:46 +0000 UTC,8.32,53.27,EUR
Amsterdam,UberX,COMPLETED,2022-03-18 16:50:24 +0000 UTC,2022-03-18 17:08:14 +0000 UTC,2022-03-18 17:20:28 +0000 UTC,4.63,14.56,EUR
